INLINE SkillTable_Class,Base Skill0,Base Skill1,Base Skill2,Skill Level 5,Skill Level 10,Skill Level 15,Skill Level 20,Skill Level 25
0x53,0,0,0,0,0,0,0,0
0x54,0,0,0,0,0,0,0,0
0x55,0,0,0,0,0,0,0,0
0x56,0,0,0,0,0,0,0,0
0x57,0,0,0,0,0,0,0,0
0x58,0,0,0,0,0,0,0,0
0x59,0,0,0,0,0,0,0,0
0x5a,0,0,0,0,0,0,0,0
0x5b,0,0,0,0,0,0,0,0
0x5c,0,0,0,0,0,0,0,0
0x5d,0,0,0,0,0,0,0,0
0x5e,0,0,0,0,0,0,0,0
0x5f,0,0,0,0,0,0,0,0
0x60,0,0,0,0,0,0,0,0
0x61,0,0,0,0,0,0,0,0
0x62,0,0,0,0,0,0,0,0
0x63,0,0,0,0,0,0,0,0
0x64,0,0,0,0,0,0,0,0
0x65,0,0,0,0,0,0,0,0
0x66,0,0,0,0,0,0,0,0
0x67,0,0,0,0,0,0,0,0
0x68,0,0,0,0,0,0,0,0
0x69,0,0,0,0,0,0,0,0
0x6a,0,0,0,0,0,0,0,0
0x6b,0,0,0,0,0,0,0,0
0x6c,0,0,0,0,0,0,0,0
0x6d,0,0,0,0,0,0,0,0
0x6e,0,0,0,0,0,0,0,0
0x6f,0,0,0,0,0,0,0,0
0x70,0,0,0,0,0,0,0,0
0x71,0,0,0,0,0,0,0,0
0x72,0,0,0,0,0,0,0,0
0x73,0,0,0,0,0,0,0,0
0x74,0,0,0,0,0,0,0,0
0x75,0,0,0,0,0,0,0,0
0x76,0,0,0,0,0,0,0,0
0x77,0,0,0,0,0,0,0,0
0x78,0,0,0,0,0,0,0,0
0x79,0,0,0,0,0,0,0,0
0x7a,0,0,0,0,0,0,0,0
0x7b,0,0,0,0,0,0,0,0
0x7c,0,0,0,0,0,0,0,0
0x7d,0,0,0,0,0,0,0,0
0x7e,0,0,0,0,0,0,0,0
0x7f,0,0,0,0,0,0,0,0
0x80,0,0,0,0,0,0,0,0
0x81,0,0,0,0,0,0,0,0
0x82,0,0,0,0,0,0,0,0
0x83,0,0,0,0,0,0,0,0
0x84,0,0,0,0,0,0,0,0
0x85,0,0,0,0,0,0,0,0
0x86,0,0,0,0,0,0,0,0
0x87,0,0,0,0,0,0,0,0
0x88,0,0,0,0,0,0,0,0
0x89,0,0,0,0,0,0,0,0
0x8a,0,0,0,0,0,0,0,0
0x8b,0,0,0,0,0,0,0,0
0x8c,0,0,0,0,0,0,0,0
0x8d,0,0,0,0,0,0,0,0
0x8e,0,0,0,0,0,0,0,0
0x8f,0,0,0,0,0,0,0,0
0x90,0,0,0,0,0,0,0,0
0x91,0,0,0,0,0,0,0,0
0x92,0,0,0,0,0,0,0,0
0x93,0,0,0,0,0,0,0,0
0x94,0,0,0,0,0,0,0,0
0x95,0,0,0,0,0,0,0,0
0x96,0,0,0,0,0,0,0,0
0x97,0,0,0,0,0,0,0,0
0x98,0,0,0,0,0,0,0,0
0x99,0,0,0,0,0,0,0,0
0x9a,0,0,0,0,0,0,0,0
0x9b,0,0,0,0,0,0,0,0
0x9c,0,0,0,0,0,0,0,0
0x9d,0,0,0,0,0,0,0,0
0x9e,0,0,0,0,0,0,0,0
0x9f,0,0,0,0,0,0,0,0
0xa0,0,0,0,0,0,0,0,0
0xa1,0,0,0,0,0,0,0,0
0xa2,0,0,0,0,0,0,0,0
0xa3,0,0,0,0,0,0,0,0
0xa4,0,0,0,0,0,0,0,0
0xa5,0,0,0,0,0,0,0,0
0xa6,0,0,0,0,0,0,0,0
0xa7,0,0,0,0,0,0,0,0
0xa8,0,0,0,0,0,0,0,0
0xa9,0,0,0,0,0,0,0,0
0xaa,0,0,0,0,0,0,0,0
0xab,0,0,0,0,0,0,0,0
0xac,0,0,0,0,0,0,0,0
0xad,0,0,0,0,0,0,0,0
0xae,0,0,0,0,0,0,0,0
0xaf,0,0,0,0,0,0,0,0
0xb0,0,0,0,0,0,0,0,0
0xb1,0,0,0,0,0,0,0,0
0xb2,0,0,0,0,0,0,0,0
0xb3,0,0,0,0,0,0,0,0
0xb4,0,0,0,0,0,0,0,0
0xb5,0,0,0,0,0,0,0,0
0xb6,0,0,0,0,0,0,0,0
0xb7,0,0,0,0,0,0,0,0
0xb8,0,0,0,0,0,0,0,0
0xb9,0,0,0,0,0,0,0,0
0xba,0,0,0,0,0,0,0,0
0xbb,0,0,0,0,0,0,0,0
0xbc,0,0,0,0,0,0,0,0
0xbd,0,0,0,0,0,0,0,0
0xbe,0,0,0,0,0,0,0,0
0xbf,0,0,0,0,0,0,0,0
0xc0,0,0,0,0,0,0,0,0
0xc1,0,0,0,0,0,0,0,0
0xc2,0,0,0,0,0,0,0,0
0xc3,0,0,0,0,0,0,0,0
0xc4,0,0,0,0,0,0,0,0
0xc5,0,0,0,0,0,0,0,0
0xc6,0,0,0,0,0,0,0,0
0xc7,0,0,0,0,0,0,0,0
0xc8,0,0,0,0,0,0,0,0
0xc9,0,0,0,0,0,0,0,0
0xca,0,0,0,0,0,0,0,0
0xcb,0,0,0,0,0,0,0,0
0xcc,0,0,0,0,0,0,0,0
0xcd,0,0,0,0,0,0,0,0
0xce,0,0,0,0,0,0,0,0
0xcf,0,0,0,0,0,0,0,0
0xd0,0,0,0,0,0,0,0,0
0xd1,0,0,0,0,0,0,0,0
0xd2,0,0,0,0,0,0,0,0
0xd3,0,0,0,0,0,0,0,0
0xd4,0,0,0,0,0,0,0,0
0xd5,0,0,0,0,0,0,0,0
0xd6,0,0,0,0,0,0,0,0
0xd7,0,0,0,0,0,0,0,0
0xd8,0,0,0,0,0,0,0,0
0xd9,0,0,0,0,0,0,0,0
0xda,0,0,0,0,0,0,0,0
0xdb,0,0,0,0,0,0,0,0
0xdc,0,0,0,0,0,0,0,0
0xdd,0,0,0,0,0,0,0,0
0xde,0,0,0,0,0,0,0,0
0xdf,0,0,0,0,0,0,0,0
0xe0,0,0,0,0,0,0,0,0
0xe1,0,0,0,0,0,0,0,0
0xe2,0,0,0,0,0,0,0,0
0xe3,0,0,0,0,0,0,0,0
0xe4,0,0,0,0,0,0,0,0
0xe5,0,0,0,0,0,0,0,0
0xe6,0,0,0,0,0,0,0,0
0xe7,0,0,0,0,0,0,0,0
0xe8,0,0,0,0,0,0,0,0
0xe9,0,0,0,0,0,0,0,0
0xea,0,0,0,0,0,0,0,0
0xeb,0,0,0,0,0,0,0,0
0xec,0,0,0,0,0,0,0,0
0xed,0,0,0,0,0,0,0,0
0xee,0,0,0,0,0,0,0,0
0xef,0,0,0,0,0,0,0,0
0xf0,0,0,0,0,0,0,0,0
0xf1,0,0,0,0,0,0,0,0
0xf2,0,0,0,0,0,0,0,0
0xf3,0,0,0,0,0,0,0,0
0xf4,0,0,0,0,0,0,0,0
0xf5,0,0,0,0,0,0,0,0
0xf6,0,0,0,0,0,0,0,0
0xf7,0,0,0,0,0,0,0,0
0xf8,0,0,0,0,0,0,0,0
0xf9,0,0,0,0,0,0,0,0
0xfa,0,0,0,0,0,0,0,0
0xfb,0,0,0,0,0,0,0,0
0xfc,0,0,0,0,0,0,0,0
0xfd,0,0,0,0,0,0,0,0
0xfe,0,0,0,0,0,0,0,0
0xff,0,0,0,0,0,0,0,0
